Folio,Topic Heading,Source (original),Text (original),Source (standardized),Text (standardized),Citation,STC number,Notes
1-2v,Wisdome,Eclesiastes. Chap. 12. v. first,"Remember Now thy Creator.
In the dayes of thy youth, whiles
the Evill dayes Come not, Nor
the yeeres approach. wherin thou
shalt Say I haue noo pleasur
In Them",Ecclesiastes 12.1,"1 Remember now thy Creator in the days of thy youth, while the evil days come not, nor the years draw nigh, when thou shalt say, I have no pleasure in them;",,,
1-3r,Wisdome,pro. 3. 13. & 15,"Happi is the man that findeth
Wisdom and the man that Geteth
vnderstanding — Shee is more
precious then Rubies. and all the
things thou Canst desier, are not 
to be Compared vnto her",Proverbs 3.13; 15,"13 Happy is the man that findeth wisdom, and the man that getteth understanding. 15 She is more precious than rubies: and all the things thou canst desire are not to be compared unto her.",,,"Verse.14 has been left out. It reads: ""For the merchandise of it is better than the merchandise of silver, and the gain thereof than fine gold."""
1-3r,Wisdome,pro. 4. 5. 6,"Get wisdom Get vnderstanding
forsake her not and shee shall Keepe 
thee: Loue her and shee shall pre=
serue thee. shee shall bring thee to
Honour if thou Embrace her. Yea
shee shall giue thee a Crowne of Life",Proverbs 4.5-9,"5 Get wisdom, get understanding: forget it not; neither decline from the words of my mouth.

6 Forsake her not, and she shall preserve thee: love her, and she shall keep thee.

7 Wisdom is the principal thing; therefore get wisdom: and with all thy getting get understanding.

8 Exalt her, and she shall promote thee: she shall bring thee to honour, when thou dost embrace her.

9 She shall give to thine head an ornament of grace: a crown of glory shall she deliver to thee.",,,"The source is mislabeled, and several phrases have been left out or jumbled in the copying."
1-3r,Wisdome,Baruch. 3. 14,"Learne where is wisdom where
is vnderstanding. where is
strenght that thou mast know
where is lenght of Dayes & life
where is the light of the Eyes 
And peace",Baruch 3.14,"Learne where is wisedome, where is strength, where is vnderstanding, that thou mayest know also where is length of daies, and life, where is the light of the eyes and peace.

",,,
1-3v,Wisdome,James first. 5. 6,If any lacke wisdom lt him aske of                      God which giueth to all men liber=                             ally. and Reproachetth noe Man :                              but let him aske in faith and                                      Not wauering,James 1.5-6,"If any of you lack wisdom, let him ask of God, that giveth to all men liberally, and upbraideth not; and it shall be given him. 6 But let him ask in faith, nothing wavering. For he that wavereth is like a wave of the sea driven with the wind and tossed",  ,  ,"Omited the last clause of verse 5, and the last sentence of verse 5."
1-3v,Wisdome,Ecc. first 1,All wisdom Commeth from ye Lord                        and is with him for Ever,Ecclesiasticus 1. 1,"All wisdom cometh from the Lord, and is with him forever.", ,,
1-3v,Wisdome,pro. 21. 30,There is noe wisdom neither                               Counsell nor Vnderstanding against the Lord,Proverbs 21. 30,There is no wisdom nor understanding nor counsel against the Lord,,,
1-3v,Wisdome,Ecc. 12. 6,"If thou desirest wisdom keepe                          the Com̄andements, and the lord                              shall giue her vnto thee",Ecclesiasticus 1. 26,"If thou desire wisdom, keep the commandments, and the Lord shall give her unto thee",,,The spacing is unclear in the original chapter/verse heading.
1-4r,Wisdome,Wisdome. 1,Wisdom Cannot enter into a wicked                   heart. nor dwell in a Body that is                      Subiect to Syn,Wisdom of Solomon 1.4,For into a malicious soul wisdom shall not enter; nor dwell in the body that is subject unto sin.,,,"The orginal does not specify the verse number, and switches around the order of the first clause (does not change meaning)"
1-4r,Wisdome,Spalme. 111.10,"The feare of the Lord is the beginning                      of wisdom, a Good vnderstanding                       haue all that thy doe therafter, the                      prayes of it Indureth for euer",Psalms 111.10,The fear of the Lord is the beginning of wisdom: a good understanding have all they that do his commandments: his praise endureth for ever.,,,"Omitted ""commandments,"" which changes the meaning slightly (the original Bible verse refers to people that follow the commandments as wise, while Collet's version refers to everything that one does/follows)"
1-4r,Wisdome,Ecc. 1. 20,The feare of the lord is the Roote of                 Wisdom and her branches are long                       Life,Ecclesiasticus 1.20,"The root of wisdom is to fear the Lord, and the branches thereof are long life.",,,
1-4r,Wisdome,Ecc. 1. 16,"The feare of ye lord is ye fullnes of                                  wisdom, and filleth men with her fruit",Ecclesiasticus 1.16,"To fear the Lord is fulness of wisdom, and filleth men with her fruits.",,,
